"price_level","vegan_options","awards","gluten_free","cuisines","original_location","open_days_per_week","avg_rating","total_reviews_count","food","service","atmosphere","excellent","meals"
"medium","N","Certificate of Excellence 2018","N","European","Vallès Oriental",NA,3.5,122,4,4,4,1,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",6,3.5,102,4,3.5,4,0,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",7,3.5,242,4,3.5,4,8,"AllMeals"
"medium","Y","Not Awarded","Y","European","Vallès Occidental",6,4,703,4.5,4,4,21,"LunchDinner"
"medium","N","Certificate of Excellence 2019","N","European","Vallès Occidental",6,4,113,4.5,4.5,4.5,0,"NoAnswer"
"high","Y","Not Awarded","Y","European","Vallès Oriental",NA,4.5,189,4.5,4.5,4.5,8,"LunchDinner"
"high","Y","Certificate of Excellence 2019","Y","European","Vallès Oriental",6,4.5,441,4.5,4,4,10,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",7,4.5,159,4.5,4.5,4.5,7,"NoAnswer"
"medium","Y","Certificate of Excellence 2018","N","European","Vallès Oriental",6,4.5,130,4.5,4.5,4,2,"LunchDinner"
"low","N","Certificate of Excellence 2019","N","European","Vallès Oriental",7,4,108,4,4,3.5,1,"AllMeals"
"medium","N","Certificate of Excellence 2018","N","European","Vallès Oriental",6,4,162,4,3.5,4,2,"LunchDinner"
"medium","N","Certificate of Excellence 2016","N","European","Vallès Oriental",6,3.5,239,4,4,4,3,"NoAnswer"
"low","Y","Certificate of Excellence 2020","N","European","Vallès Oriental",6,4.5,199,4,4.5,4,6,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","European","Vallès Oriental",5,4.5,136,4.5,4.5,5,2,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",6,4.5,272,4.5,4.5,4,15,"NoAnswer"
"low","Y","Certificate of Excellence 2019","N","European","Vallès Oriental",5,4.5,212,4.5,4.5,4,3,"NoAnswer"
"medium","Y","Certificate of Excellence 2018","Y","European","Baix Llobregat",NA,4.5,135,4.5,4.5,4,1,"NoAnswer"
"medium","N","Certificate of Excellence 2017","N","European","Maresme",6,4,145,4,4.5,4,1,"LunchDinner"
"high","Y","Certificate of Excellence 2016","Y","European","Maresme",6,4,213,4,4,4,3,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",7,3,199,3,3.5,3,2,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",NA,4,347,4,3.5,4,3,"LunchDinner"
"medium","N","Certificate of Excellence 2019","Y","European","Maresme",7,4,205,4,4,3.5,4,"AllMeals"
"medium","N","Certificate of Excellence 2018","N","European","Maresme",NA,4,190,4,4,4,4,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",5,3.5,104,3.5,3.5,3.5,1,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",7,4.5,144,4.5,4.5,4.5,2,"LunchDinner"
"high","N","Certificate of Excellence 2020","Y","Asian","Vallès Occidental",NA,4.5,101,4.5,4.5,4,1,"LunchDinner"
"medium","Y","Certificate of Excellence 2019","Y","European","Vallès Occidental",6,4.5,141,4.5,5,4.5,4,"LunchDinner"
"medium","N","Certificate of Excellence 2019","Y","European","Vallès Occidental",6,4,147,4,4,4,3,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Occidental",5,4,170,4,3.5,3,1,"LunchDinner"
"medium","N","Certificate of Excellence 2018","Y","European","Vallès Occidental",6,4.5,116,4,4.5,4,0,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",6,4.5,151,4.5,4.5,4.5,4,"NoAnswer"
"medium","Y","Certificate of Excellence 2017","Y","European","Vallès Oriental",7,4,387,4,4,4.5,7,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Oriental",7,2.5,169,3.5,3,4,0,"NoAnswer"
"medium","N","Not Awarded","N","European","Barcelonès",2,3.5,106,3.5,3,3,6,"LunchDinner"
"medium","N","Certificate of Excellence 2016","N","European","Barcelonès",6,4,155,4.5,4,3,4,"LunchDinner"
"medium","N","Certificate of Excellence 2018","Y","European","Barcelonès",6,4.5,116,4,4,4,67,"NoAnswer"
"low","Y","Certificate of Excellence 2020","Y","European","Baix Llobregat",6,4.5,276,4.5,4,5,4,"AllMeals"
"medium","N","Not Awarded","Y","European","Vallès Occidental",7,3.5,345,4,4,4,4,"LunchDinner"
"medium","N","Certificate of Excellence 2018","N","European","Maresme",6,4,143,4,3.5,4,1,"LunchDinner"
"medium","Y","Certificate of Excellence 2019","N","European","Maresme",6,4,102,4,4,4.5,1,"NoAnswer"
"medium","N","Certificate of Excellence 2016","N","European","Maresme",6,4,118,4,4,4.5,1,"NoAnswer"
"medium","N","Not Awarded","N","European","Maresme",6,3.5,109,4,4,3.5,3,"AllMeals"
"medium","N","Certificate of Excellence 2019","N","European","Maresme",6,3.5,108,4,3.5,4,4,"AllMeals"
"medium","N","Certificate of Excellence 2016","Y","European","Vallès Occidental",6,4,119,4,4,4,0,"LunchDinner"
"medium","N","Certificate of Excellence 2016","N","European","Vallès Occidental",6,4,190,4.5,4,4,2,"LunchDinner"
"medium","Y","Certificate of Excellence 2013","N","European","Vallès Occidental",7,3.5,472,4,4,4,12,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Occidental",NA,4.5,272,4.5,4.5,4.5,5,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Occidental",7,3.5,153,3.5,3,4,27,"LunchDinner"
"medium","N","Certificate of Excellence 2020","N","European","Vallès Occidental",7,4,118,4,4,4,0,"LunchDinner"
"medium","N","Certificate of Excellence 2017","N","European","Vallès Occidental",6,4.5,171,4.5,4.5,4.5,132,"LunchDinner"
"medium","N","Not Awarded","Y","American","Vallès Occidental",6,3.5,104,4,3.5,4,39,"LunchDinner"
"medium","N","Not Awarded","N","European","Vallès Occidental",5,3.5,129,3,3.5,3.5,0,"NoAnswer"
"medium","N","Not Awarded","N","European","Vallès Occidental",6,3.5,104,4,4,4.5,22,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Occidental",6,4,373,4,4,3.5,1,"LunchDinner"
"medium","Y","Not Awarded","Y","European","Vallès Occidental",7,4,265,3.5,4,4.5,1,"LunchDinner"
"low","N","Certificate of Excellence 2020","N","European","Maresme",6,4.5,108,4.5,4.5,4,9,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","Asian","Maresme",6,4.5,170,4.5,4.5,4,6,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,235,4,4,4,3,"LunchDinner"
"medium","N","Certificate of Excellence 2019","N","European","Maresme",6,4.5,136,4.5,4.5,4,0,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",7,3,115,3.5,3.5,3.5,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","Asian","Maresme",6,4,179,4.5,4.5,4.5,16,"NoAnswer"
"medium","N","Not Awarded","N","European","Maresme",7,3.5,215,3.5,3.5,4,4,"LunchDinner"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",7,4,225,4,4,4,5,"LunchDinner"
"medium","Y","Certificate of Excellence 2019","N","European","Maresme",5,4,139,4,4,4,5,"LunchDinner"
"high","N","Certificate of Excellence 2020","Y","European","Maresme",5,4,250,4,4,4,13,"LunchDinner"
"medium","N","Certificate of Excellence 2020","N","European","Maresme",6,4,229,4.5,4.5,3.5,2,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",7,3.5,305,4,3.5,3,8,"LunchDinner"
"medium","N","Not Awarded","Y","European","Maresme",6,3.5,242,4,3.5,3.5,0,"LunchDinner"
"medium","N","Not Awarded","N","European","Maresme",7,3.5,132,3.5,3.5,4,5,"AllMeals"
"medium","Y","Certificate of Excellence 2016","Y","European","Maresme",7,4,105,4,4,4.5,11,"NoAnswer"
"medium","N","Not Awarded","N","European","Maresme",NA,3.5,121,3.5,3.5,4,3,"Others"
"medium","Y","Certificate of Excellence 2018","Y","European","Maresme",7,4,204,4,3.5,4,6,"NoAnswer"
"medium","N","Not Awarded","N","European","Maresme",6,3.5,158,3.5,3.5,3.5,4,"LunchDinner"
