price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,N,N,7.0,3.0,121,3.0,2.5,,2,Barcelona,,Spanish,Mid-range
€€-€€€,Y,Y,7.0,5.0,779,4.5,5.0,,322,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,Y,Y,6.0,4.5,338,4.5,5.0,,161,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Chinese,Mid-range
€€-€€€,N,N,6.0,5.0,3642,4.5,5.0,,1211,Barcelona,"Travellers' Choice, Certificate of Excellence 2020",,Mid-range
€€-€€€,Y,Y,7.0,4.0,140,4.0,4.0,,39,Barcelona,Certificate of Excellence 2018,Lebanese,Mid-range
€€-€€€,Y,Y,7.0,4.5,1607,4.0,4.0,4.0,499,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",Spanish,Mid-range
€€-€€€,Y,N,,4.5,124,4.5,4.5,,17,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,Y,Y,7.0,5.0,507,4.5,5.0,,38,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mexican,Mid-range
€,N,N,6.0,4.5,756,4.5,4.5,4.5,196,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",,Cheap Eats
€€-€€€,Y,Y,,4.0,141,4.0,3.5,,16,Barcelona,Certificate of Excellence 2018,Cafe,Mid-range
€€-€€€,N,N,6.0,4.5,104,4.5,4.5,,15,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",American,Mid-range
€€-€€€,Y,Y,7.0,4.0,111,3.5,3.5,,18,Barcelona,Certificate of Excellence 2018,Japanese,Mid-range
€€-€€€,N,N,,4.0,144,4.0,4.0,,13,Barcelona,,Steakhouse,Mid-range
€€-€€€,N,N,7.0,4.0,557,4.0,4.0,3.5,83,Barcelona,"Certificate of Excellence 2017, Certificate of Excellence 2012",Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.5,161,4.5,4.5,,6,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",American,Mid-range
€€-€€€,N,Y,6.0,4.5,110,4.5,4.5,,13,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018",International,Mid-range
€€-€€€,Y,Y,7.0,4.0,806,4.0,4.0,3.5,118,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2016, Certificate of Excellence 2013, Certificate of Excellence 2012",Seafood,Mid-range
€€-€€€,Y,Y,6.0,4.0,111,4.0,4.0,,16,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",European,Mid-range
€€-€€€,Y,Y,6.0,4.5,219,4.5,4.5,,71,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,N,Y,7.0,4.0,118,4.0,4.0,,4,Barcelona,Certificate of Excellence 2018,Mediterranean,Mid-range
€€-€€€,Y,Y,,4.5,191,4.0,4.0,,6,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",,Mid-range
€€-€€€,Y,Y,5.0,4.5,360,4.5,4.5,,134,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Philippine,Mid-range
€€-€€€,Y,Y,,4.0,120,4.5,4.0,,13,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€,Y,Y,7.0,5.0,172,5.0,5.0,,47,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Cheap Eats
€€-€€€,Y,Y,7.0,4.5,1157,4.0,4.0,,448,Barcelona,"Travellers' Choice, Certificate of Excellence 2020",Seafood,Mid-range
€€-€€€,Y,Y,5.0,4.5,337,4.5,4.5,,126,Barcelona,"Travellers' Choice, Certificate of Excellence 2020",Grill,Mid-range
€€-€€€,N,Y,7.0,4.5,512,4.5,4.5,,67,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,Y,N,7.0,3.5,120,4.0,3.5,,9,Barcelona,,Spanish,Mid-range
€€-€€€,Y,Y,6.0,4.0,247,4.0,4.0,3.5,24,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2015",Indian,Mid-range
€€-€€€,N,N,7.0,3.5,193,3.5,3.5,4.0,14,Barcelona,Certificate of Excellence 2013,European,Mid-range
