"price_level";"vegan_options";"awards";"gluten_free";"cuisines";"original_location";"open_days_per_week";"avg_rating";"total_reviews_count";"food";"service";"atmosphere";"excellent";"meals"
"€€-€€€";"N";"Not Awarded";"N";"Japanese, Sushi, Asian";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";NA;3.5;128;4;3.5;4.5;1;"Lunch, Dinner"
"€€-€€€";"N";"Certificate of Excellence 2019";"N";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";5;4;123;4;4.5;4.5;9;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2019";"Y";"Mediterranean, European, Spanish, Catalan, Contemporary";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";NA;4;407;4;4;4.5;5;""
"€€-€€€";"Y";"Certificate of Excellence 2018";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";NA;4.5;106;4.5;4.5;4;57;"Breakfast, Lunch, Dinner, Brunch"
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bages\", \"Manresa\"]";NA;3.5;127;3.5;3.5;3.5;1;"Dinner, Lunch"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";5;4.5;233;4.5;4.5;4;6;""
"€€-€€€";"N";"Not Awarded";"N";"Italian, Mediterranean, Pizza, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;3;147;4;3.5;3.5;1;""
"€€-€€€";"Y";"Certificate of Excellence 2020";"N";"Italian, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";3;4.5;114;5;5;4.5;7;""
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Pizza, Italian, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";5;4.5;142;4.5;4.5;3.5;3;""
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"European, Spanish, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4.5;126;5;5;4.5;5;""
"€€-€€€";"N";"Certificate of Excellence 2018";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;116;4;4;4;2;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;373;4.5;4.5;4;31;"Lunch, Dinner, After-hours"
